method,tol,err,time_s
Vern9 (default),0.010000000000000002,0.04415684290153754,0.02031815
Vern9 (default),0.001,0.023853230069333264,0.054132
Vern9 (default),0.0001,0.005490139141255179,0.0759688
Vern9 (default),1.0e-5,7.780306392946024e-5,0.109234
Vern9 (default),1.0e-6,3.552676689877465e-5,0.1368629
Vern9 (default),1.0000000000000001e-7,2.1300750254305e-5,0.1668831
Vern9 (default),1.0e-8,6.12061644256201e-7,0.2200852
Vern9 (default),1.0e-9,6.644969103852816e-7,0.2869535
Vern9 (default),1.0e-10,6.690027480882321e-7,0.3500455
Tsit5,0.010000000000000002,1.0607189779971862,0.000336992
Tsit5,0.001,0.7498462428431185,0.002513622222222222
Tsit5,0.0001,0.25050646530770404,0.0175186
Tsit5,1.0e-5,0.1001575791346534,0.0447016
Tsit5,1.0e-6,0.0015444118914311744,0.0802844
Tsit5,1.0000000000000001e-7,2.3213098958585476e-6,0.1352112
Tsit5,1.0e-8,2.2794467087194903e-6,0.2266263
Tsit5,1.0e-9,7.36144260216065e-7,0.3779741
Tsit5,1.0e-10,6.617804448882936e-7,0.6965523
BS3,0.010000000000000002,0.9220897828417254,9.006511627906977e-5
BS3,0.001,0.00537889380803791,0.0012358411764705883
BS3,0.0001,0.013087884851135323,0.00904785
BS3,1.0e-5,0.003591538116957338,0.0555986
BS3,1.0e-6,0.0007471620696948289,0.1655238
BS3,1.0000000000000001e-7,1.1028440130900208e-5,0.3866685
BS3,1.0e-8,7.303268905189952e-7,0.7113576
BS3,1.0e-9,6.536585628325042e-7,1.4811728
Rosenbrock23,0.010000000000000002,0.2804548878227462,0.0002661692307692308
Rosenbrock23,0.001,0.15046938214864092,0.0027252625
Rosenbrock23,0.0001,0.12153551017866215,0.01784055
Rosenbrock23,1.0e-5,0.06030540124761874,0.1213717
Rosenbrock23,1.0e-6,0.00044145593002142824,0.4683779
Rosenbrock23,1.0000000000000001e-7,3.1589412130550443e-6,0.7304099
Rosenbrock23,1.0e-8,3.935709631308626e-6,1.4687137
QuadGK,0.010000000000000002,0.0008300837336143729,0.0851559
QuadGK,0.001,2.2703912772037427e-6,0.1553253
QuadGK,0.0001,6.652695638820205e-7,0.2318986
QuadGK,1.0e-5,6.615271348486829e-7,0.2597776
QuadGK,1.0e-6,6.69492218108303e-7,0.2644706
QuadGK,1.0000000000000001e-7,6.694930092532303e-7,0.3201359
QuadGK,1.0e-8,6.694929877149036e-7,0.4802473
QuadGK,1.0e-9,6.694929903794389e-7,0.5131099
QuadGK,1.0e-10,6.694930039241598e-7,0.5049891
