lambda,sigma_deg,kp,ki,Z,Z_raw
0.4,0.0,2.0,5.0,0,-0.0030887751435461075
0.4,0.0,2.0,3.0,0,-0.0030204698154944754
0.4,0.0,2.0,2.0,0,-0.0029896160119122217
0.4,0.5,2.0,5.0,2,2.1149573935475012
0.4,0.5,2.0,3.0,0,0.18737599873116006
0.4,0.5,2.0,2.0,0,0.26062282184236574
0.4,1.0,2.0,5.0,2,2.1570555372989553
0.4,1.0,2.0,3.0,2,2.249175610582149
0.4,1.0,2.0,2.0,0,0.33112247239687104
1.5,0.0,4.0,19.0,0,-0.006151341842623781
1.5,0.0,4.0,17.0,0,-0.00613402013483344
1.5,0.0,4.0,8.0,0,-0.006196923600723325
1.5,0.15,4.0,19.0,2,1.98933812451196
1.5,0.15,4.0,17.0,2,1.9888428877421702
1.5,0.15,4.0,8.0,0,-0.01616226979364699
1.5,0.3,4.0,19.0,2,1.981583468851
1.5,0.3,4.0,17.0,2,1.9802448757027176
1.5,0.3,4.0,8.0,0,-0.033773380656414664
