system,n_points,grid_time_s,mdbm_time_s,wmax,tol,mdbm_n0,mdbm_levels,mdbm_equiv_res
fourth,10000,0.3080000877380371,1.2804164,10000.0,0.0001,7,6,448
algebraic,10000,0.127000093460083,0.0967248,1000.0,0.0001,7,6,448
distributed,10000,0.17300009727478027,0.1823851,1000.0,0.0001,7,6,448
neutral,10000,0.564000129699707,0.587235,200.0,0.0001,7,6,448
neutral_hg,10000,0.627000093460083,0.4785157,200.0,0.0001,7,6,448
pda,10000,1.9490001201629639,1.0400604,500.0,0.0001,7,6,448
turning,10000,2.4090001583099365,5.1538063,1000.0,0.0001,7,6,448
beam,10000,0.40399980545043945,1.5876355,200.0,0.0001,7,6,448
fem,10000,438.8400001525879,869.9990788,200.0,0.0001,7,6,448
bigmat,1600,171.05299997329712,686.8858977,200.0,0.0001,7,5,224
frac,10000,0.29199981689453125,0.2668777,100.0,0.0001,7,6,448
