method,point,P,D,n_steps,sigma_est,err,time_s,ref_residual
SD order 1,stable,1.8,1.0,10.0,-0.026927983422552596,0.0001171855510188266,0.0024678,4.002966042486721e-16
SD order 1,stable,1.8,1.0,20.0,-0.02684014336105044,2.934548951667032e-5,0.0054499,4.002966042486721e-16
SD order 1,stable,1.8,1.0,40.0,-0.026818137316726255,7.339445192485611e-6,0.0196442,4.002966042486721e-16
SD order 1,stable,1.8,1.0,80.0,-0.026812632926022758,1.8350544889883524e-6,0.1478406,4.002966042486721e-16
SD order 1,stable,1.8,1.0,160.0,-0.026811256642594615,4.587710608454365e-7,0.5425797,4.002966042486721e-16
SD order 2,stable,1.8,1.0,10.0,-0.026794632739957053,1.6165131576716812e-5,0.002571457142857143,4.002966042486721e-16
SD order 2,stable,1.8,1.0,20.0,-0.02680876232940201,2.0355421317605482e-6,0.00754235,4.002966042486721e-16
SD order 2,stable,1.8,1.0,40.0,-0.02681054255191006,2.553196237105315e-7,0.0166992,4.002966042486721e-16
SD order 2,stable,1.8,1.0,80.0,-0.026810765903732537,3.196780123254639e-8,0.0801517,4.002966042486721e-16
SD order 2,stable,1.8,1.0,160.0,-0.02681079387078904,4.000744728560601e-9,0.5903956,4.002966042486721e-16
interp. Nyquist tol=1.0e-5,stable,1.8,1.0,0.0,-0.026810797871533832,6.245004513516506e-17,0.0017194916666666666,4.002966042486721e-16
interp. Nyquist tol=1.0e-5 unrefined,stable,1.8,1.0,0.0,-0.026536044411672132,0.00027475345986163746,0.0016597333333333332,4.002966042486721e-16
interp. Nyquist tol=1.0e-8,stable,1.8,1.0,0.0,-0.0268107978715338,3.122502256758253e-17,0.0037828500000000004,4.002966042486721e-16
interp. Nyquist tol=1.0e-8 unrefined,stable,1.8,1.0,0.0,-0.026473413161381992,0.00033738471015177726,0.00369825,4.002966042486721e-16
SD order 1,near boundary,2.4,1.4,10.0,0.040247526934210284,0.00037172173252017493,0.00224875,1.5700924586837752e-16
SD order 1,near boundary,2.4,1.4,20.0,0.04052615347824997,9.309518848048953e-5,0.00562414,1.5700924586837752e-16
SD order 1,near boundary,2.4,1.4,40.0,0.04059596456164012,2.3284105090337626e-5,0.01618265,1.5700924586837752e-16
SD order 1,near boundary,2.4,1.4,80.0,0.04061342699692901,5.8216698014465496e-6,0.0567175,1.5700924586837752e-16
SD order 1,near boundary,2.4,1.4,160.0,0.0406177932097463,1.4554569841562781e-6,0.5401759,1.5700924586837752e-16
SD order 2,near boundary,2.4,1.4,10.0,0.040650654656942675,3.140599021221602e-5,0.002599975,1.5700924586837752e-16
SD order 2,near boundary,2.4,1.4,20.0,0.04062323293683806,3.984270107601495e-6,0.005662575,1.5700924586837752e-16
SD order 2,near boundary,2.4,1.4,40.0,0.04061975025016516,5.01583434703301e-7,0.0185353,1.5700924586837752e-16
SD order 2,near boundary,2.4,1.4,80.0,0.04061931158270729,6.291597683116823e-8,0.0759136,1.5700924586837752e-16
SD order 2,near boundary,2.4,1.4,160.0,0.04061925654712266,7.880392199899333e-9,0.590556,1.5700924586837752e-16
interp. Nyquist tol=1.0e-5,near boundary,2.4,1.4,0.0,0.04061924866673045,6.938893903907228e-18,0.00217805,1.5700924586837752e-16
interp. Nyquist tol=1.0e-5 unrefined,near boundary,2.4,1.4,0.0,0.0408858019723279,0.00026655330559743895,0.00212888,1.5700924586837752e-16
interp. Nyquist tol=1.0e-8,near boundary,2.4,1.4,0.0,0.04061924866673045,6.938893903907228e-18,0.00450734,1.5700924586837752e-16
interp. Nyquist tol=1.0e-8 unrefined,near boundary,2.4,1.4,0.0,0.04089932773237382,0.0002800790656433613,0.00446794,1.5700924586837752e-16
SD order 1,unstable,3.2,0.6,10.0,0.20984344214413828,0.00038753600526225673,0.0027039,4.518280359883027e-16
SD order 1,unstable,3.2,0.6,20.0,0.21013403813615084,9.69400132496967e-5,0.008201833333333334,4.518280359883027e-16
SD order 1,unstable,3.2,0.6,40.0,0.2102067396464315,2.423850296903729e-5,0.0647964,4.518280359883027e-16
SD order 1,unstable,3.2,0.6,80.0,0.21022491830500944,6.059844391087532e-6,0.077548,4.518280359883027e-16
SD order 1,unstable,3.2,0.6,160.0,0.21022946317692115,1.5149724793828145e-6,0.5146147,4.518280359883027e-16
SD order 2,unstable,3.2,0.6,10.0,0.21023260646026867,1.6283108681403036e-6,0.0028010125,4.518280359883027e-16
SD order 2,unstable,3.2,0.6,20.0,0.2102312245003108,2.463509102546002e-7,0.0075725,4.518280359883027e-16
SD order 2,unstable,3.2,0.6,40.0,0.21023101163818866,3.3488788131474934e-8,0.068621,4.518280359883027e-16
SD order 2,unstable,3.2,0.6,80.0,0.2102309825055669,4.356166372065928e-9,0.0602204,4.518280359883027e-16
SD order 2,unstable,3.2,0.6,160.0,0.21023097870537308,5.559725457793263e-10,0.5711374,4.518280359883027e-16
interp. Nyquist tol=1.0e-5,unstable,3.2,0.6,0.0,0.21023097809422508,5.5175447544186795e-11,0.0015422923076923076,4.518280359883027e-16
interp. Nyquist tol=1.0e-5 unrefined,unstable,3.2,0.6,0.0,0.24635200836592092,0.03612103021652038,0.0015079785714285714,4.518280359883027e-16
interp. Nyquist tol=1.0e-8,unstable,3.2,0.6,0.0,0.210230978153496,4.095473959964124e-12,0.0034077499999999998,4.518280359883027e-16
interp. Nyquist tol=1.0e-8 unrefined,unstable,3.2,0.6,0.0,0.2370746192225074,0.026843641073106855,0.0033883333333333335,4.518280359883027e-16
