method,control,mean_err,median_err,max_err,time_s,mem_mb
fixed-step,32.0,173.745350494379,40.658504571387695,3605.848664318955,0.0013078,0.14565563201904297
fixed-step,42.0,132.2220395745521,30.779140043861453,2747.075145175682,0.0012091,0.14559459686279297
fixed-step,56.0,99.0037291924083,22.871314042064952,2060.057346489417,0.0021835,0.14559459686279297
fixed-step,75.0,73.75851685133661,16.76473241457152,1537.9213369274075,0.0028532,0.14557933807373047
fixed-step,100.0,55.16041876274319,12.310556895891118,1153.1907895380498,0.003754,0.14557933807373047
fixed-step,133.0,41.3187536625786,9.01959462235206,866.8128905861413,0.0045801,0.14554882049560547
fixed-step,178.0,30.71986330062439,6.5083461681514345,647.4227538377015,0.0065412,0.14551830291748047
fixed-step,237.0,22.927621378118044,4.6589440596073395,486.00967216026487,0.0087312,0.14560985565185547
fixed-step,316.0,17.068717111943545,3.41496717226136,364.24326680220173,0.010416,0.14562511444091797
fixed-step,422.0,12.686342835131518,2.405602816775243,272.47480885697064,0.0100841,0.14554882049560547
fixed-step,562.0,9.472998800339449,1.71270182644539,204.38755803371683,0.0195807,0.14557933807373047
fixed-step,750.0,7.086570233418582,1.2906047354507937,153.07856727211725,0.0302278,0.14559459686279297
fixed-step,1000.0,5.451705347030105,1.282301962805907,114.18797190710237,0.0368836,0.14562511444091797
fixed-step,1334.0,4.48256433328443,1.7765542867221216,86.43814300497984,0.0509383,0.14557933807373047
fixed-step,1778.0,4.0666140022823125,1.638459445664509,64.23911244672207,0.0627599,0.14551830291748047
fixed-step,2371.0,2.4162484141642135,0.930582446846074,47.99564629849762,0.0796674,0.14557933807373047
fixed-step,3162.0,1.7489153553361294,0.4774235083115633,36.158284266647314,0.105292,0.14554882049560547
fixed-step,4217.0,1.4612484678604432,0.6808127867584799,26.786704630887705,0.1250094,0.14560985565185547
fixed-step,5623.0,1.0448774357830612,0.3854378766454176,19.991952577638965,0.1712006,0.14556407928466797
fixed-step,7499.0,0.7235447518242463,0.21690466496866656,14.823874057257248,0.2193119,0.14560985565185547
fixed-step,10000.0,0.6039849038563306,0.14129093774922685,26.365815949034832,0.3032876,0.14557933807373047
QuadGK,0.1,0.18648934525498945,0.005756664898611152,1.5283206101023268,0.0043475,2.612483024597168
